Subset Code	Subset Preferred Term	Concept Code	NCIt Preferred Term	NCIt Definition	ICDC Preferred Term	ICDC Synonym	CDISC Preferred Term
C166373	ICDC Property Terminology	C93620	Period Dose Total	Total of all doses of treatment in a given period of time.	total_number_of_doses_any_therapy	total number of doses any therapy	
C166373	ICDC Property Terminology	C164333	NSAID Total Dose	The total number of doses of NSAIDs given in a given period of time.	total_number_of_doses_nsaid	total number of doses nsaid	
C166373	ICDC Property Terminology	C164334	Steroid Total Dose	The total number of doses of steroids given in a given period of time.	total_number_of_doses_steroid	total number of doses steroid	
C166373	ICDC Property Terminology	C166239	Total Sample Tissue Area	The total area of a tissue sample.	total_tissue_area	total tissue area	
C166373	ICDC Property Terminology	C164335	Treatment Data	Data pertaining to the medical or surgical treatment of a patient.	treatment_data	treatment data	
C166373	ICDC Property Terminology	C171433	Treatment Performed at Study Site Indicator	Specifies whether treatment was administered to a subject at a study site.	treatment_performed_at_site	treatment performed at site	
C166373	ICDC Property Terminology	C171434	Treatment Performed in Minimal Residual Disease Indicator	Specifies whether a treatment was administered to a subject that was diagnosed with minimal residual disease.	treatment_performed_in_minimal_residual	treatment performed in minimal residual	
C166373	ICDC Property Terminology	C157518	Therapy Used Since Last Visit	An indication of the type of therapy used since the last visit.	treatment_since_last_contact	treatment since last contact	
C166373	ICDC Property Terminology	C171438	Tumor Sample Origin Indicator	Specifies whether a sample was derived from a primary tumor versus a metastatic lesion.	tumor_sample_origin	tumor sample origin	
C166373	ICDC Property Terminology	C166240	Tumor Tissue Area	The area within a sample that is comprised of tumor tissue.	tumor_tissue_area	tumor tissue area	
C166373	ICDC Property Terminology	C41334	Unexpected Adverse Event	"Any adverse event associated with a medical product or procedure that has not been previously observed, whether or not the event was anticipated because of the pharmacologic properties of the study agent or the nature of the medical procedure. This includes events that are more serious than expected or occur more frequently than expected, particularly, any adverse experience, the nature, severity or frequency of which is not consistent with the product label, or with the current investigator brochure for investigational agent; or with the risk information described in the investigational plan or protocol or consent form."	unexpected_adverse_event	unexpected adverse event	unexpected adverse drug reaction
C166373	ICDC Property Terminology	C54100	Universally Unique Identifier	"A 128 bit identifier. Depending on the mechanism used to generate it, it is either guaranteed to be different from all other UUIDs/GUIDs generated until 3400 AD or extremely likely to be different. Its relatively small size lends itself well to sorting, ordering, and hashing of all sorts, storing in databases, simple allocation, and ease of programming in general."	uuid		
C166373	ICDC Property Terminology	C164336	Veterinary Medical Center	A veterinary institution that provides medical or surgical care and treatment for the sick or the injured.	veterinary_medical_center	veterinary medical center	
C166373	ICDC Property Terminology	C83031	Visit Date	The date on which a visit occurred.	visit_date	visit date	VISDAT
C166373	ICDC Property Terminology	C83101	Visit Number	The numerical identifier of the visit.	visit_number	visit number	
C166373	ICDC Property Terminology	C94515	Tumor Volume		volume_of_tumor	volume of tumor	
C166373	ICDC Property Terminology	C158774	Pathologic Width	The longest diameter of a tumor from the pathology examination of a specimen.	width_of_tumor	width of tumor	
